question,variable,value,label
Grenzkontrollen innerhalb EU einführen,LIEBE,3,Zustimmung zu 'Es sollen wieder dauerhafte Grenzkontrollen zwischen den Mitgliedsstaaten der EU stattfinden.'
Vereinigte Staaten von Europa entwickeln,LIEBE,3,Zustimmung zu 'Die EU soll sich langfristig zu einem europäischen Bundesstaat entwickeln.'
Wahlrecht ab 16 bei Europawahl,LIEBE,3,Zustimmung zu 'Jugendliche sollen ab 16 Jahren bei der Europawahl wählen dürfen.'
EU-Bürgerentscheide einführen,DIE FRAUEN,3,Zustimmung zu 'Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.'
Höhere Ziele CO2-Reduktion,DIE FRAUEN,3,Zustimmung zu 'Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.'
europäische Armee aufbauen,DIE FRAUEN,1,Ablehnung zu 'Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.'
Bio-Landwirtschaft fördern,DIE FRAUEN,3,Zustimmung zu 'Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.'
Euro abschaffen,DIE FRAUEN,1,Ablehnung zu 'Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.'
private Seenotrettung unterstützen,DIE FRAUEN,3,Zustimmung zu 'Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.'
Finanz-Transaktions-Steuer einführen,DIE FRAUEN,3,Zustimmung zu 'Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.'
Gentechnik (bei Pflanzen) erlauben,DIE FRAUEN,1,Ablehnung zu 'Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.'
Sozialleistungen im EU-Ausland kürzen,DIE FRAUEN,1,"Ablehnung zu 'EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten.'"
transnationale Listen bei Europawahl,DIE FRAUEN,2,Neutral zu 'EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.'
Mehr Entwicklungshilfe,DIE FRAUEN,3,Zustimmung zu 'Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.'
Fluggäste Daten weiterhin speichern,DIE FRAUEN,1,Ablehnung zu 'Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.'
nationaler Mindestlohn in allen Ländern,DIE FRAUEN,3,Zustimmung zu 'Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.'
Flüchtlingsdeal mit Türkei beibehalten,DIE FRAUEN,1,Ablehnung zu 'Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.'
Frauenquote in Aufsichtsräten festlegen,DIE FRAUEN,3,Zustimmung zu 'In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.'
Dexit (Deutschland soll EU verlassen),DIE FRAUEN,1,Ablehnung zu 'Deutschland soll aus der Europäischen Union austreten.'
Atomkraft weiterhin erlauben,DIE FRAUEN,1,Ablehnung zu 'In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.'
Zuwanderung Fachkräfte aus Nicht-EU fördern,DIE FRAUEN,1,Ablehnung zu 'Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.'
Presse- und Medienfreiheit,DIE FRAUEN,3,"Zustimmung zu 'Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.'"
Wirtschaftshihlfe innerhalb der EU reduzieren,DIE FRAUEN,1,Ablehnung zu 'Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.'
medizinische Tierversuche weiterhin erlauben,DIE FRAUEN,1,Ablehnung zu 'In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.'
Europäische Polizei stärken,DIE FRAUEN,1,Ablehnung zu 'Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.'
EU-weit Mindeststeuersatz für Unternehmen,DIE FRAUEN,3,Zustimmung zu 'Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.'
Einführung Gleichgeschlechtliche Ehe fördern,DIE FRAUEN,3,"Zustimmung zu 'Die EU soll sich dafür einsetzen, dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.'"
Staatsverschuldung konsequent bestrafen,DIE FRAUEN,1,"Ablehnung zu 'Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.'"
Lkw-Maut auf Fernstraßen einführen,DIE FRAUEN,3,Zustimmung zu 'In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.'
EU als christliche Wertegemeinschaft verstehen,DIE FRAUEN,1,Ablehnung zu 'Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.'
Alle Banken verstaatlichen,DIE FRAUEN,2,Neutral zu 'Alle Banken sollen verstaatlicht werden.'
"""Mittelmeer-Route"" schließen",DIE FRAUEN,1,"Ablehnung zu 'Alle Asylsuchenden, die versuchen über das Mittelmeer in die EU zu gelangen, sollen in ihre Heimatländer zurückgeführt werden.'"
Sanktionen gegen Russland abbauen,DIE FRAUEN,3,Zustimmung zu 'Die EU soll ihre Sanktionen gegen Russland abbauen.'
Plastikverpackungen besteuern,DIE FRAUEN,3,Zustimmung zu 'In allen EU-Mitgliedsstaaten sollen Plastikverpackungen besteuert werden.'
Initiativen gegen Antisemitismus fördern,DIE FRAUEN,3,Zustimmung zu 'In der EU sollen Initiativen gegen Antisemitismus finanziell unterstützt werden.'
EU-Außenpolitik mit Mehrheitsentscheiden,DIE FRAUEN,2,Neutral zu 'Bei außenpolitischen Entscheidungen der EU soll häufiger mit Mehrheit statt einstimmig entschieden werden können.'
Proportionale Verteilung Asylsuchende in EU,DIE FRAUEN,1,Ablehnung zu 'Asylsuchende sollen in der EU proportional auf die Mitgliedsstaaten verteilt werden.'
Fischerei Fangmengen begrenzen,DIE FRAUEN,3,Zustimmung zu 'Die Fangmengen für die europäische Fischerei sollen stärker begrenzt werden.'
Grenzkontrollen innerhalb EU einführen,DIE FRAUEN,1,Ablehnung zu 'Es sollen wieder dauerhafte Grenzkontrollen zwischen den Mitgliedsstaaten der EU stattfinden.'
Vereinigte Staaten von Europa entwickeln,DIE FRAUEN,2,Neutral zu 'Die EU soll sich langfristig zu einem europäischen Bundesstaat entwickeln.'
Wahlrecht ab 16 bei Europawahl,DIE FRAUEN,3,Zustimmung zu 'Jugendliche sollen ab 16 Jahren bei der Europawahl wählen dürfen.'
EU-Bürgerentscheide einführen,Graue Panther,3,Zustimmung zu 'Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.'
Höhere Ziele CO2-Reduktion,Graue Panther,3,Zustimmung zu 'Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.'
europäische Armee aufbauen,Graue Panther,3,Zustimmung zu 'Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.'
Bio-Landwirtschaft fördern,Graue Panther,3,Zustimmung zu 'Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.'
Euro abschaffen,Graue Panther,1,Ablehnung zu 'Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.'
private Seenotrettung unterstützen,Graue Panther,1,Ablehnung zu 'Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.'
Finanz-Transaktions-Steuer einführen,Graue Panther,3,Zustimmung zu 'Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.'
Gentechnik (bei Pflanzen) erlauben,Graue Panther,1,Ablehnung zu 'Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.'
Sozialleistungen im EU-Ausland kürzen,Graue Panther,3,"Zustimmung zu 'EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten.'"
transnationale Listen bei Europawahl,Graue Panther,1,Ablehnung zu 'EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.'
Mehr Entwicklungshilfe,Graue Panther,3,Zustimmung zu 'Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.'
Fluggäste Daten weiterhin speichern,Graue Panther,3,Zustimmung zu 'Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.'
nationaler Mindestlohn in allen Ländern,Graue Panther,3,Zustimmung zu 'Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.'
Flüchtlingsdeal mit Türkei beibehalten,Graue Panther,3,Zustimmung zu 'Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.'
Frauenquote in Aufsichtsräten festlegen,Graue Panther,1,Ablehnung zu 'In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.'
Dexit (Deutschland soll EU verlassen),Graue Panther,1,Ablehnung zu 'Deutschland soll aus der Europäischen Union austreten.'
Atomkraft weiterhin erlauben,Graue Panther,1,Ablehnung zu 'In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.'
Zuwanderung Fachkräfte aus Nicht-EU fördern,Graue Panther,1,Ablehnung zu 'Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.'
Presse- und Medienfreiheit,Graue Panther,3,"Zustimmung zu 'Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.'"
Wirtschaftshihlfe innerhalb der EU reduzieren,Graue Panther,3,Zustimmung zu 'Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.'
medizinische Tierversuche weiterhin erlauben,Graue Panther,1,Ablehnung zu 'In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.'
Europäische Polizei stärken,Graue Panther,2,Neutral zu 'Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.'
EU-weit Mindeststeuersatz für Unternehmen,Graue Panther,3,Zustimmung zu 'Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.'
Einführung Gleichgeschlechtliche Ehe fördern,Graue Panther,3,"Zustimmung zu 'Die EU soll sich dafür einsetzen, dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.'"
Staatsverschuldung konsequent bestrafen,Graue Panther,3,"Zustimmung zu 'Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.'"
Lkw-Maut auf Fernstraßen einführen,Graue Panther,3,Zustimmung zu 'In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.'
EU als christliche Wertegemeinschaft verstehen,Graue Panther,3,Zustimmung zu 'Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.'
Alle Banken verstaatlichen,Graue Panther,1,Ablehnung zu 'Alle Banken sollen verstaatlicht werden.'
"""Mittelmeer-Route"" schließen",Graue Panther,3,"Zustimmung zu 'Alle Asylsuchenden, die versuchen über das Mittelmeer in die EU zu gelangen, sollen in ihre Heimatländer zurückgeführt werden.'"
Sanktionen gegen Russland abbauen,Graue Panther,3,Zustimmung zu 'Die EU soll ihre Sanktionen gegen Russland abbauen.'
Plastikverpackungen besteuern,Graue Panther,3,Zustimmung zu 'In allen EU-Mitgliedsstaaten sollen Plastikverpackungen besteuert werden.'
Initiativen gegen Antisemitismus fördern,Graue Panther,1,Ablehnung zu 'In der EU sollen Initiativen gegen Antisemitismus finanziell unterstützt werden.'
EU-Außenpolitik mit Mehrheitsentscheiden,Graue Panther,3,Zustimmung zu 'Bei außenpolitischen Entscheidungen der EU soll häufiger mit Mehrheit statt einstimmig entschieden werden können.'
Proportionale Verteilung Asylsuchende in EU,Graue Panther,3,Zustimmung zu 'Asylsuchende sollen in der EU proportional auf die Mitgliedsstaaten verteilt werden.'
Fischerei Fangmengen begrenzen,Graue Panther,3,Zustimmung zu 'Die Fangmengen für die europäische Fischerei sollen stärker begrenzt werden.'
Grenzkontrollen innerhalb EU einführen,Graue Panther,1,Ablehnung zu 'Es sollen wieder dauerhafte Grenzkontrollen zwischen den Mitgliedsstaaten der EU stattfinden.'
Vereinigte Staaten von Europa entwickeln,Graue Panther,1,Ablehnung zu 'Die EU soll sich langfristig zu einem europäischen Bundesstaat entwickeln.'
Wahlrecht ab 16 bei Europawahl,Graue Panther,1,Ablehnung zu 'Jugendliche sollen ab 16 Jahren bei der Europawahl wählen dürfen.'
EU-Bürgerentscheide einführen,LKR,3,Zustimmung zu 'Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.'
Höhere Ziele CO2-Reduktion,LKR,3,Zustimmung zu 'Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.'
europäische Armee aufbauen,LKR,1,Ablehnung zu 'Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.'
Bio-Landwirtschaft fördern,LKR,3,Zustimmung zu 'Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.'
Euro abschaffen,LKR,1,Ablehnung zu 'Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.'
private Seenotrettung unterstützen,LKR,2,Neutral zu 'Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.'
Finanz-Transaktions-Steuer einführen,LKR,3,Zustimmung zu 'Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.'
Gentechnik (bei Pflanzen) erlauben,LKR,2,Neutral zu 'Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.'
Sozialleistungen im EU-Ausland kürzen,LKR,3,"Zustimmung zu 'EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten.'"
transnationale Listen bei Europawahl,LKR,1,Ablehnung zu 'EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.'
Mehr Entwicklungshilfe,LKR,3,Zustimmung zu 'Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.'
Fluggäste Daten weiterhin speichern,LKR,3,Zustimmung zu 'Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.'
nationaler Mindestlohn in allen Ländern,LKR,1,Ablehnung zu 'Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.'
Flüchtlingsdeal mit Türkei beibehalten,LKR,3,Zustimmung zu 'Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.'
Frauenquote in Aufsichtsräten festlegen,LKR,1,Ablehnung zu 'In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.'
Dexit (Deutschland soll EU verlassen),LKR,1,Ablehnung zu 'Deutschland soll aus der Europäischen Union austreten.'
Atomkraft weiterhin erlauben,LKR,3,Zustimmung zu 'In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.'
Zuwanderung Fachkräfte aus Nicht-EU fördern,LKR,3,Zustimmung zu 'Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.'
Presse- und Medienfreiheit,LKR,3,"Zustimmung zu 'Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.'"
Wirtschaftshihlfe innerhalb der EU reduzieren,LKR,1,Ablehnung zu 'Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.'
medizinische Tierversuche weiterhin erlauben,LKR,3,Zustimmung zu 'In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.'
Europäische Polizei stärken,LKR,3,Zustimmung zu 'Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.'
EU-weit Mindeststeuersatz für Unternehmen,LKR,3,Zustimmung zu 'Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.'
Einführung Gleichgeschlechtliche Ehe fördern,LKR,1,"Ablehnung zu 'Die EU soll sich dafür einsetzen, dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.'"
Staatsverschuldung konsequent bestrafen,LKR,3,"Zustimmung zu 'Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.'"
Lkw-Maut auf Fernstraßen einführen,LKR,3,Zustimmung zu 'In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.'
EU als christliche Wertegemeinschaft verstehen,LKR,3,Zustimmung zu 'Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.'
Alle Banken verstaatlichen,LKR,1,Ablehnung zu 'Alle Banken sollen verstaatlicht werden.'
"""Mittelmeer-Route"" schließen",LKR,1,"Ablehnung zu 'Alle Asylsuchenden, die versuchen über das Mittelmeer in die EU zu gelangen, sollen in ihre Heimatländer zurückgeführt werden.'"
Sanktionen gegen Russland abbauen,LKR,3,Zustimmung zu 'Die EU soll ihre Sanktionen gegen Russland abbauen.'
Plastikverpackungen besteuern,LKR,3,Zustimmung zu 'In allen EU-Mitgliedsstaaten sollen Plastikverpackungen besteuert werden.'
Initiativen gegen Antisemitismus fördern,LKR,3,Zustimmung zu 'In der EU sollen Initiativen gegen Antisemitismus finanziell unterstützt werden.'
EU-Außenpolitik mit Mehrheitsentscheiden,LKR,1,Ablehnung zu 'Bei außenpolitischen Entscheidungen der EU soll häufiger mit Mehrheit statt einstimmig entschieden werden können.'
Proportionale Verteilung Asylsuchende in EU,LKR,1,Ablehnung zu 'Asylsuchende sollen in der EU proportional auf die Mitgliedsstaaten verteilt werden.'
Fischerei Fangmengen begrenzen,LKR,3,Zustimmung zu 'Die Fangmengen für die europäische Fischerei sollen stärker begrenzt werden.'
Grenzkontrollen innerhalb EU einführen,LKR,1,Ablehnung zu 'Es sollen wieder dauerhafte Grenzkontrollen zwischen den Mitgliedsstaaten der EU stattfinden.'
Vereinigte Staaten von Europa entwickeln,LKR,1,Ablehnung zu 'Die EU soll sich langfristig zu einem europäischen Bundesstaat entwickeln.'
Wahlrecht ab 16 bei Europawahl,LKR,1,Ablehnung zu 'Jugendliche sollen ab 16 Jahren bei der Europawahl wählen dürfen.'
EU-Bürgerentscheide einführen,MENSCHLICHE WELT,3,Zustimmung zu 'Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.'
Höhere Ziele CO2-Reduktion,MENSCHLICHE WELT,3,Zustimmung zu 'Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.'
europäische Armee aufbauen,MENSCHLICHE WELT,1,Ablehnung zu 'Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.'
Bio-Landwirtschaft fördern,MENSCHLICHE WELT,3,Zustimmung zu 'Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.'
Euro abschaffen,MENSCHLICHE WELT,1,Ablehnung zu 'Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.'
private Seenotrettung unterstützen,MENSCHLICHE WELT,3,Zustimmung zu 'Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.'
Finanz-Transaktions-Steuer einführen,MENSCHLICHE WELT,3,Zustimmung zu 'Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.'
Gentechnik (bei Pflanzen) erlauben,MENSCHLICHE WELT,2,Neutral zu 'Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.'
Sozialleistungen im EU-Ausland kürzen,MENSCHLICHE WELT,3,"Zustimmung zu 'EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten.'"
transnationale Listen bei Europawahl,MENSCHLICHE WELT,1,Ablehnung zu 'EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.'
Mehr Entwicklungshilfe,MENSCHLICHE WELT,3,Zustimmung zu 'Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.'
Fluggäste Daten weiterhin speichern,MENSCHLICHE WELT,1,Ablehnung zu 'Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.'
nationaler Mindestlohn in allen Ländern,MENSCHLICHE WELT,3,Zustimmung zu 'Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.'
Flüchtlingsdeal mit Türkei beibehalten,MENSCHLICHE WELT,2,Neutral zu 'Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.'
Frauenquote in Aufsichtsräten festlegen,MENSCHLICHE WELT,3,Zustimmung zu 'In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.'
Dexit (Deutschland soll EU verlassen),MENSCHLICHE WELT,1,Ablehnung zu 'Deutschland soll aus der Europäischen Union austreten.'
Atomkraft weiterhin erlauben,MENSCHLICHE WELT,1,Ablehnung zu 'In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.'
Zuwanderung Fachkräfte aus Nicht-EU fördern,MENSCHLICHE WELT,1,Ablehnung zu 'Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.'
Presse- und Medienfreiheit,MENSCHLICHE WELT,1,"Ablehnung zu 'Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.'"
Wirtschaftshihlfe innerhalb der EU reduzieren,MENSCHLICHE WELT,1,Ablehnung zu 'Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.'
medizinische Tierversuche weiterhin erlauben,MENSCHLICHE WELT,1,Ablehnung zu 'In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.'
Europäische Polizei stärken,MENSCHLICHE WELT,1,Ablehnung zu 'Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.'
EU-weit Mindeststeuersatz für Unternehmen,MENSCHLICHE WELT,3,Zustimmung zu 'Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.'
Einführung Gleichgeschlechtliche Ehe fördern,MENSCHLICHE WELT,1,"Ablehnung zu 'Die EU soll sich dafür einsetzen, dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.'"
Staatsverschuldung konsequent bestrafen,MENSCHLICHE WELT,1,"Ablehnung zu 'Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.'"
Lkw-Maut auf Fernstraßen einführen,MENSCHLICHE WELT,3,Zustimmung zu 'In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.'
EU als christliche Wertegemeinschaft verstehen,MENSCHLICHE WELT,1,Ablehnung zu 'Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.'
Alle Banken verstaatlichen,MENSCHLICHE WELT,1,Ablehnung zu 'Alle Banken sollen verstaatlicht werden.'
"""Mittelmeer-Route"" schließen",MENSCHLICHE WELT,1,"Ablehnung zu 'Alle Asylsuchenden, die versuchen über das Mittelmeer in die EU zu gelangen, sollen in ihre Heimatländer zurückgeführt werden.'"
Sanktionen gegen Russland abbauen,MENSCHLICHE WELT,3,Zustimmung zu 'Die EU soll ihre Sanktionen gegen Russland abbauen.'
Plastikverpackungen besteuern,MENSCHLICHE WELT,3,Zustimmung zu 'In allen EU-Mitgliedsstaaten sollen Plastikverpackungen besteuert werden.'
Initiativen gegen Antisemitismus fördern,MENSCHLICHE WELT,3,Zustimmung zu 'In der EU sollen Initiativen gegen Antisemitismus finanziell unterstützt werden.'
EU-Außenpolitik mit Mehrheitsentscheiden,MENSCHLICHE WELT,3,Zustimmung zu 'Bei außenpolitischen Entscheidungen der EU soll häufiger mit Mehrheit statt einstimmig entschieden werden können.'
Proportionale Verteilung Asylsuchende in EU,MENSCHLICHE WELT,2,Neutral zu 'Asylsuchende sollen in der EU proportional auf die Mitgliedsstaaten verteilt werden.'
Fischerei Fangmengen begrenzen,MENSCHLICHE WELT,3,Zustimmung zu 'Die Fangmengen für die europäische Fischerei sollen stärker begrenzt werden.'
Grenzkontrollen innerhalb EU einführen,MENSCHLICHE WELT,1,Ablehnung zu 'Es sollen wieder dauerhafte Grenzkontrollen zwischen den Mitgliedsstaaten der EU stattfinden.'
Vereinigte Staaten von Europa entwickeln,MENSCHLICHE WELT,2,Neutral zu 'Die EU soll sich langfristig zu einem europäischen Bundesstaat entwickeln.'
Wahlrecht ab 16 bei Europawahl,MENSCHLICHE WELT,3,Zustimmung zu 'Jugendliche sollen ab 16 Jahren bei der Europawahl wählen dürfen.'
EU-Bürgerentscheide einführen,NL,3,Zustimmung zu 'Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.'
Höhere Ziele CO2-Reduktion,NL,3,Zustimmung zu 'Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.'
europäische Armee aufbauen,NL,3,Zustimmung zu 'Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.'
Bio-Landwirtschaft fördern,NL,3,Zustimmung zu 'Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.'
Euro abschaffen,NL,1,Ablehnung zu 'Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.'
private Seenotrettung unterstützen,NL,3,Zustimmung zu 'Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.'
Finanz-Transaktions-Steuer einführen,NL,3,Zustimmung zu 'Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.'
Gentechnik (bei Pflanzen) erlauben,NL,2,Neutral zu 'Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.'
Sozialleistungen im EU-Ausland kürzen,NL,1,"Ablehnung zu 'EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten.'"
transnationale Listen bei Europawahl,NL,3,Zustimmung zu 'EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.'
Mehr Entwicklungshilfe,NL,3,Zustimmung zu 'Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.'
Fluggäste Daten weiterhin speichern,NL,1,Ablehnung zu 'Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.'
nationaler Mindestlohn in allen Ländern,NL,3,Zustimmung zu 'Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.'
Flüchtlingsdeal mit Türkei beibehalten,NL,1,Ablehnung zu 'Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.'
Frauenquote in Aufsichtsräten festlegen,NL,1,Ablehnung zu 'In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.'
Dexit (Deutschland soll EU verlassen),NL,1,Ablehnung zu 'Deutschland soll aus der Europäischen Union austreten.'
Atomkraft weiterhin erlauben,NL,1,Ablehnung zu 'In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.'
Zuwanderung Fachkräfte aus Nicht-EU fördern,NL,3,Zustimmung zu 'Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.'
Presse- und Medienfreiheit,NL,3,"Zustimmung zu 'Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.'"
Wirtschaftshihlfe innerhalb der EU reduzieren,NL,1,Ablehnung zu 'Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.'
